<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.11	20:00:00	1735.02	1736.45	1732.80	1736.11	3904	0	0
2022.07.11	21:00:00	1736.11	1736.77	1733.93	1734.95	3158	0	1
2022.07.11	22:00:00	1734.95	1735.21	1731.31	1732.23	2873	0	0
2022.07.11	23:00:00	1732.20	1734.03	1732.01	1733.92	1539	0	0
2022.07.12	01:00:00	1733.58	1734.38	1732.93	1733.69	689	0	0
2022.07.12	02:00:00	1733.69	1734.55	1733.33	1733.33	762	0	0
2022.07.12	03:00:00	1733.33	1735.67	1731.96	1732.54	2866	0	0
2022.07.12	04:00:00	1732.58	1743.83	1723.20	1734.71	9267	0	0
2022.07.12	05:00:00	1734.67	1737.17	1733.81	1735.45	4356	0	0
2022.07.12	06:00:00	1735.38	1735.76	1732.37	1733.39	2063	0	0
2022.07.12	07:00:00	1733.38	1733.39	1728.59	1728.87	2559	0	3
2022.07.12	08:00:00	1728.91	1729.52	1725.56	1729.36	4054	0	0
2022.07.12	09:00:00	1729.36	1735.86	1728.08	1734.45	5963	0	0
2022.07.12	10:00:00	1734.45	1737.96	1733.12	1734.30	5673	0	0
2022.07.12	11:00:00	1734.25	1739.12	1732.52	1734.68	4496	0	1
2022.07.12	12:00:00	1734.68	1736.84	1733.65	1735.06	4294	0	0
2022.07.12	13:00:00	1734.97	1736.07	1731.52	1734.24	4021	0	0
2022.07.12	14:00:00	1734.26	1739.34	1732.13	1735.49	5860	0	0
2022.07.12	15:00:00	1735.51	1736.85	1730.83	1732.14	6352	0	0
2022.07.12	16:00:00	1732.10	1733.97	1726.13	1729.66	9757	0	0
2022.07.12	17:00:00	1729.61	1731.74	1727.68	1730.22	8284	0	0
2022.07.12	18:00:00	1730.34	1733.79	1728.97	1731.93	7267	0	0
2022.07.12	19:00:00	1731.93	1732.53	1729.44	1729.49	4114	0	2
2022.07.12	20:00:00	1729.45	1729.85	1725.43	1727.20	4813	0	0
2022.07.12	21:00:00	1727.22	1729.30	1724.94	1728.72	3261	0	0
2022.07.12	22:00:00	1728.73	1729.06	1724.54	1725.76	3258	0	0
2022.07.12	23:00:00	1725.76	1726.45	1724.92	1726.33	1554	0	0
2022.07.13	01:00:00	1726.02	1726.08	1725.13	1725.76	1095	0	0
2022.07.13	02:00:00	1725.76	1726.34	1725.07	1725.33	1219	0	8
2022.07.13	03:00:00	1725.33	1725.51	1722.81	1724.86	3077	0	10
2022.07.13	04:00:00	1724.84	1728.65	1724.04	1727.48	6003	0	0
2022.07.13	05:00:00	1727.49	1728.73	1725.87	1728.14	4524	0	4
2022.07.13	06:00:00	1728.07	1728.77	1726.15	1727.22	3435	0	4
2022.07.13	07:00:00	1727.19	1727.38	1724.78	1725.71	2353	0	6
2022.07.13	08:00:00	1725.72	1726.87	1724.21	1725.63	3891	0	1
2022.07.13	09:00:00	1725.63	1727.28	1722.50	1725.28	5968	0	0
2022.07.13	10:00:00	1725.29	1728.52	1724.07	1726.87	4739	0	0
2022.07.13	11:00:00	1726.86	1727.92	1725.30	1727.91	3954	0	0
2022.07.13	12:00:00	1727.84	1730.26	1726.71	1728.07	3291	0	2
2022.07.13	13:00:00	1728.07	1729.93	1727.09	1729.91	3022	0	0
2022.07.13	14:00:00	1729.87	1731.86	1728.49	1729.52	3619	0	0
2022.07.13	15:00:00	1729.52	1730.31	1707.02	1712.70	12064	0	0
2022.07.13	16:00:00	1712.87	1728.98	1710.65	1723.27	14031	0	0
2022.07.13	17:00:00	1723.24	1743.28	1720.63	1742.26	15447	0	0
2022.07.13	18:00:00	1742.27	1745.39	1736.49	1737.46	10620	0	0
2022.07.13	19:00:00	1737.45	1739.02	1735.80	1737.95	6109	0	0
2022.07.13	20:00:00	1738.06	1740.06	1736.32	1739.83	5485	0	0
2022.07.13	21:00:00	1739.81	1739.89	1733.93	1734.81	5931	0	0
2022.07.13	22:00:00	1734.80	1735.00	1732.48	1733.07	3713	0	1
2022.07.13	23:00:00	1733.05	1735.69	1731.97	1735.59	1994	0	1
2022.07.14	01:00:00	1736.17	1736.42	1733.74	1734.47	1564	0	2
2022.07.14	02:00:00	1734.44	1734.44	1730.14	1731.97	2086	0	9
2022.07.14	03:00:00	1731.98	1732.41	1727.41	1728.24	3660	0	10
2022.07.14	04:00:00	1728.28	1729.78	1725.44	1726.78	6095	0	1
2022.07.14	05:00:00	1726.61	1731.41	1726.60	1729.18	4248	0	0
2022.07.14	06:00:00	1729.18	1733.54	1728.98	1731.93	3584	0	2
2022.07.14	07:00:00	1731.92	1732.22	1727.26	1728.03	2578	0	9
2022.07.14	08:00:00	1727.98	1728.88	1726.15	1727.57	4555	0	7
2022.07.14	09:00:00	1727.57	1728.86	1720.84	1721.12	6700	0	5
2022.07.14	10:00:00	1721.12	1721.34	1715.16	1718.24	7918	0	0
2022.07.14	11:00:00	1718.25	1718.90	1715.42	1716.76	6187	0	0
2022.07.14	12:00:00	1716.75	1717.38	1712.25	1716.59	6268	0	0
2022.07.14	13:00:00	1716.61	1716.69	1710.91	1711.04	4588	0	0
2022.07.14	14:00:00	1711.10	1716.08	1709.93	1713.69	7129	0	0
2022.07.14	15:00:00	1713.70	1714.97	1707.87	1709.35	9624	0	0
2022.07.14	16:00:00	1709.35	1710.55	1697.58	1702.77	14739	0	0
2022.07.14	17:00:00	1702.59	1708.90	1697.97	1707.36	11822	0	0
2022.07.14	18:00:00	1707.31	1714.51	1703.69	1711.46	12177	0	0
2022.07.14	19:00:00	1711.52	1711.59	1704.88	1705.86	8384	0	0
2022.07.14	20:00:00	1705.94	1710.66	1705.74	1710.00	6916	0	0
2022.07.14	21:00:00	1710.02	1712.38	1709.60	1710.89	4861	0	9
2022.07.14	22:00:00	1710.84	1711.16	1708.73	1709.05	3777	0	2
2022.07.14	23:00:00	1709.06	1711.21	1708.80	1710.69	1595	0	4
2022.07.15	01:00:00	1711.02	1711.47	1709.94	1710.36	1116	0	9
2022.07.15	02:00:00	1710.36	1711.93	1710.25	1711.69	1254	0	10
2022.07.15	03:00:00	1711.68	1712.18	1709.91	1710.50	3188	0	10
2022.07.15	04:00:00	1710.43	1714.12	1709.28	1713.91	5383	0	0
2022.07.15	05:00:00	1713.71	1716.59	1712.16	1712.70	4715	0	0
2022.07.15	06:00:00	1712.70	1713.61	1708.31	1708.48	3900	0	2
2022.07.15	07:00:00	1708.48	1712.42	1707.63	1709.37	2727	0	1
2022.07.15	08:00:00	1709.40	1710.80	1707.68	1709.48	3313	0	4
2022.07.15	09:00:00	1709.48	1709.50	1700.68	1704.05	6440	0	0
2022.07.15	10:00:00	1704.05	1706.33	1702.85	1703.54	6679	0	0
2022.07.15	11:00:00	1703.54	1704.91	1701.68	1704.50	4641	0	5
2022.07.15	12:00:00	1704.42	1705.35	1702.20	1702.58	4088	0	0
2022.07.15	13:00:00	1702.56	1707.11	1701.21	1706.72	4405	0	0
2022.07.15	14:00:00	1706.70	1707.95	1704.09	1704.49	4681	0	0
2022.07.15	15:00:00	1704.49	1710.82	1700.01	1707.42	10172	0	0
2022.07.15	16:00:00	1707.51	1714.08	1701.88	1702.41	12097	0	0
2022.07.15	17:00:00	1702.41	1707.14	1699.06	1704.28	11578	0	0
2022.07.15	18:00:00	1704.28	1708.23	1703.52	1704.66	7456	0	0
2022.07.15	19:00:00	1704.67	1705.28	1703.16	1704.62	3585	0	0
2022.07.15	20:00:00	1704.65	1705.64	1704.02	1704.93	3117	0	0
2022.07.15	21:00:00	1704.96	1705.61	1704.24	1704.80	2295	0	4
2022.07.15	22:00:00	1704.80	1705.83	1703.59	1705.54	2013	0	3
2022.07.15	23:00:00	1705.54	1707.21	1704.90	1707.11	1276	0	11
2022.07.18	01:00:00	1706.90	1709.09	1706.52	1708.98	2025	0	5
2022.07.18	02:00:00	1709.00	1710.70	1708.10	1710.28	1734	0	0
2022.07.18	03:00:00	1710.28	1711.12	1707.49	1708.49	2280	0	2
2022.07.18	04:00:00	1708.49	1714.65	1708.10	1714.41	6289	0	0
2022.07.18	05:00:00	1714.43	1715.06	1713.15	1713.77	3879	0	4
2022.07.18	06:00:00	1713.79	1717.69	1713.54	1716.00	3777	0	0
2022.07.18	07:00:00	1716.02	1716.82	1713.87	1714.29	2179	0	6
2022.07.18	08:00:00	1714.28	1718.37	1713.99	1714.49	3836	0	5
2022.07.18	09:00:00	1714.44	1716.43	1711.92	1714.43	5252	0	1
2022.07.18	10:00:00	1714.37	1720.78	1713.32	1718.71	6115	0	0
2022.07.18	11:00:00	1718.62	1719.90	1717.74	1719.22	4419	0	1
2022.07.18	12:00:00	1719.21	1723.92	1718.41	1722.08	4802	0	0
2022.07.18	13:00:00	1722.10	1722.18	1714.60	1715.97	4588	0	0
2022.07.18	14:00:00	1716.01	1717.00	1712.97	1715.49	4419	0	0
2022.07.18	15:00:00	1715.50	1717.61	1711.49	1717.18	6879	0	0
2022.07.18	16:00:00	1717.17	1721.29	1713.38	1719.01	11002	0	0
2022.07.18	17:00:00	1719.09	1719.73	1713.06	1714.92	10037	0	0
2022.07.18	18:00:00	1714.89	1715.12	1708.89	1710.47	7395	0	0
2022.07.18	19:00:00	1710.46	1712.92	1710.46	1711.94	4542	0	1
2022.07.18	20:00:00	1711.92	1712.78	1709.68	1709.88	4155	0	4
2022.07.18	21:00:00	1709.86	1710.90	1707.63	1707.72	3098	0	2
2022.07.18	22:00:00	1707.71	1708.45	1706.69	1707.48	3702	0	1
2022.07.18	23:00:00	1707.47	1709.37	1706.85	1708.93	2336	0	3
2022.07.19	01:00:00	1709.84	1710.11	1708.00	1708.02	1121	0	10
2022.07.19	02:00:00	1708.01	1708.86	1706.98	1708.24	1237	0	6
2022.07.19	03:00:00	1708.21	1708.34	1705.35	1707.73	2445	0	7
2022.07.19	04:00:00	1707.67	1707.72	1705.39	1705.92	4478	0	9
2022.07.19	05:00:00	1705.98	1708.49	1705.68	1706.98	3175	0	0
2022.07.19	06:00:00	1706.95	1709.60	1706.71	1709.43	2587	0	0
2022.07.19	07:00:00	1709.45	1709.84	1707.54	1708.45	2223	0	2
2022.07.19	08:00:00	1708.46	1711.16	1707.82	1710.12	3512	0	2
2022.07.19	09:00:00	1710.12	1710.75	1707.84	1708.87	4396	0	2
2022.07.19	10:00:00	1708.87	1711.65	1707.42	1711.64	6392	0	0
2022.07.19	11:00:00	1711.62	1713.32	1710.78	1713.26	5068	0	0
2022.07.19	12:00:00	1713.26	1715.13	1712.06	1713.28	4709	0	0
2022.07.19	13:00:00	1713.43	1717.11	1712.88	1716.93	4980	0	0
2022.07.19	14:00:00	1716.87	1718.39	1713.31	1714.05	4805	0	0
2022.07.19	15:00:00	1714.14	1714.87	1708.55	1708.94	6030	0	0
2022.07.19	16:00:00	1708.93	1714.53	1708.55	1710.96	9298	0	0
2022.07.19	17:00:00	1710.96	1714.36	1709.71	1712.94	9918	0	0
2022.07.19	18:00:00	1712.93	1715.28	1712.40	1714.38	7015	0	0
2022.07.19	19:00:00	1714.39	1714.52	1710.99	1711.44	4159	0	1
2022.07.19	20:00:00	1711.44	1713.05	1710.85	1710.92	3386	0	4
2022.07.19	21:00:00	1710.93	1711.78	1709.77	1710.17	2922	0	0
2022.07.19	22:00:00	1710.28	1712.66	1709.91	1712.12	3007	0	0
2022.07.19	23:00:00	1712.12	1712.20	1711.03	1711.30	1642	0	3
2022.07.20	01:00:00	1711.27	1712.51	1711.13	1712.09	905	0	0
2022.07.20	02:00:00	1712.09	1712.11	1709.57	1709.97	1442	0	4
2022.07.20	03:00:00	1709.93	1712.59	1709.93	1712.15	3029	0	4
2022.07.20	04:00:00	1712.13	1712.76	1709.52	1709.89	3972	0	0
2022.07.20	05:00:00	1709.88	1711.89	1709.68	1711.25	2773	0	2
2022.07.20	06:00:00	1711.29	1713.40	1710.86	1712.09	2237	0	1
2022.07.20	07:00:00	1712.10	1713.40	1711.24	1711.66	1711	0	6
2022.07.20	08:00:00	1711.66	1712.08	1708.24	1708.53	3448	0	0
2022.07.20	09:00:00	1708.49	1708.92	1706.02	1707.23	3994	0	0
2022.07.20	10:00:00	1707.23	1709.22	1706.56	1707.46	3356	0	9
2022.07.20	11:00:00	1707.55	1709.51	1706.75	1707.93	2414	0	6
